"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All amounts in USD, unless specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date/time: posted date/time of the transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selling fees: Includes variable closing fees and referral fees.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Reports with start date of Jan 1, 2025 or later are indexed by posted date, include both released and deferred transactions and have two new columns. You may need to update integrations or third-party mappings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,Regulatory Fee,Tax On Regulatory Fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total,Transaction Status,Transaction Release Date
"Jun 11, 2026 8:56:05 PM PDT",26501622601,Order,114-1049221-7867469,1191425-FBM,"WEILOONG Moishine Peanut & Sesame Konjac Snack, Chewy Bouncy Plant-Based Snack, Chinese Snacks High Fiber Konjac Bites, Latiao Spicy Strips Individual",1,amazon.com,Seller,LEXINGTON,KY,40507,MarketplaceFacilitator,9.89,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,12.39,Deferred,
"Jun 12, 2026 8:16:21 AM PDT",26501622601,Order,113-7016997-7457826,1191422,"WEILOONG Moishine Hot & Spicy Konjac Snack, Chewy Bouncy Plant-Based Snack, Chinese Snacks Fiber Konjac Bites, Individually Wrapped Packs, 12.7 oz (36",1,amazon.com,Seller,PICKENS,SC,29671,MarketplaceFacilitator,9.89,0.1,5,0.05,0,0,0,0,0,0,-0.15,0,0,0,0,14.89,Deferred,
"Jun 12, 2026 9:51:50 AM PDT",26501622601,Service Fee,,,Cost of Advertising,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.26,0,-1.26,Released,"Jun 12, 2026 9:51:50 AM PDT"
"Jun 14, 2026 12:59:43 PM PDT",26501622601,Service Fee,,,Cost of Advertising,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.87,0,-10.87,Released,"Jun 14, 2026 12:59:43 PM PDT"
"Jun 14, 2026 7:07:49 PM PDT",26501622601,Order,111-8398244-3686613,1191425-FBM,"WEILOONG Moishine Peanut & Sesame Konjac Snack, Chewy Bouncy Plant-Based Snack, Chinese Snacks High Fiber Konjac Bites, Latiao Spicy Strips Individual",1,amazon.com,Seller,SANTA ANA,CA,92705,MarketplaceFacilitator,9.89,0,2.5,0,0,0,0,0,-0.99,0,0,0,0,0,0,11.4,Deferred,
"Jun 14, 2026 7:07:49 PM PDT",26501622601,Order,111-8398244-3686613,1191423,"WEILOONG Moishine Sour & Hot Konjac Snack, Chewy Bouncy Plant-Based Snack, Chinese Snacks High Fiber Konjac Bites, Individually Wrapped Packs, 12.7 oz",1,amazon.com,Seller,SANTA ANA,CA,92705,MarketplaceFacilitator,9.89,0,2.5,0,0,0,0,0,-0.99,0,0,0,0,0,0,11.4,Deferred,
"Jun 14, 2026 7:13:28 PM PDT",26501622601,Order,113-1097518-8722667,1191425-FBM,"WEILOONG Moishine Peanut & Sesame Konjac Snack, Chewy Bouncy Plant-Based Snack, Chinese Snacks High Fiber Konjac Bites, Latiao Spicy Strips Individual",2,amazon.com,Seller,SAN FRANCISCO,CA,94110,MarketplaceFacilitator,19.78,0,5,0,0,0,0,0,-1.98,0,0,0,0,0,0,22.8,Deferred,
"Jun 14, 2026 7:20:02 PM PDT",26501622601,Order,114-6841119-8291405,1191425-FBM,"WEILOONG Moishine Peanut & Sesame Konjac Snack, Chewy Bouncy Plant-Based Snack, Chinese Snacks High Fiber Konjac Bites, Latiao Spicy Strips Individual",1,amazon.com,Seller,BEVERLY HILLS,CA,90211,MarketplaceFacilitator,9.89,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14.89,Deferred,
"Jun 15, 2026 1:32:35 AM PDT",26501622601,Order,113-2124679-7897049,1191424,"WEILOONG Moishine Szechwan Taste Konjac Snack, Chewy Bouncy Plant-Based Snack, Chinese Snacks High Fiber Konjac Bites, Individually Wrapped Packs, 12.",1,amazon.com,Seller,CARSON,CA,90745,MarketplaceFacilitator,9.89,0,1.67,0,0,0,0,0,-0.99,0,0,0,0,0,0,10.57,Deferred,
"Jun 15, 2026 1:32:35 AM PDT",26501622601,Order,113-2124679-7897049,1191425-FBM,"WEILOONG Moishine Peanut & Sesame Konjac Snack, Chewy Bouncy Plant-Based Snack, Chinese Snacks High Fiber Konjac Bites, Latiao Spicy Strips Individual",1,amazon.com,Seller,CARSON,CA,90745,MarketplaceFacilitator,9.89,0,1.67,0,0,0,0,0,-0.99,0,0,0,0,0,0,10.57,Deferred,
"Jun 15, 2026 1:32:35 AM PDT",26501622601,Order,113-2124679-7897049,1191422,"WEILOONG Moishine Hot & Spicy Konjac Snack, Chewy Bouncy Plant-Based Snack, Chinese Snacks Fiber Konjac Bites, Individually Wrapped Packs, 12.7 oz (36",1,amazon.com,Seller,CARSON,CA,90745,MarketplaceFacilitator,9.89,0,1.66,0,0,0,0,0,-1.48,0,0,0,0,0,0,10.07,Deferred,
"Jun 15, 2026 11:23:39 PM PDT",26501622601,Order,112-1506451-1095415,1191422,"WEILOONG Moishine Hot & Spicy Konjac Snack, Chewy Bouncy Plant-Based Snack, Chinese Snacks Fiber Konjac Bites, Individually Wrapped Packs, 12.7 oz (36",1,amazon.com,Seller,NEW YORK,NY,10016,MarketplaceFacilitator,9.89,0,5,0,0,0,0,0,-1.48,0,0,0,0,0,0,13.41,Deferred,
"Jun 15, 2026 11:24:52 PM PDT",26501622601,Order,112-7809063-0130603,1191422,"WEILOONG Moishine Hot & Spicy Konjac Snack, Chewy Bouncy Plant-Based Snack, Chinese Snacks Fiber Konjac Bites, Individually Wrapped Packs, 12.7 oz (36",1,amazon.com,Seller,MINNEAPOLIS,MN,55405,MarketplaceFacilitator,9.89,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14.89,Deferred,
"Jun 15, 2026 11:26:08 PM PDT",26501622601,Order,113-0424193-5228238,1191425-FBM,"WEILOONG Moishine Peanut & Sesame Konjac Snack, Chewy Bouncy Plant-Based Snack, Chinese Snacks High Fiber Konjac Bites, Latiao Spicy Strips Individual",1,amazon.com,Seller,SACRAMENTO,CA,95828,MarketplaceFacilitator,9.89,0,5,0,0,0,0,0,-0.99,0,0,0,0,0,0,13.9,Deferred,
